APP No.,Date Read,Time Read,Dipped water level,QA DIP,DH1 DIP,DH2 DIP,DH2 Recovered Well DIP,DH2 Recovered Well DIP Date,
1,5/09/2017,8:39,0.87,1.03,1.08,0.87,,,
2,26/09/2017,10:11,0.32,0.76,0.91,0.32,,,
3,5/09/2017,13:26,1.65,2.15,2.16,1.65,,,
4,6/09/2017,13:22,1.23,2.09,1.8,1.23,,,
5,4/09/2017,10:25,1.55,1.74,1.79,1.55,,,
8,7/09/2017,8:57,0.62,0.91,0.96,0.62,,,
9,7/09/2017,8:44,0.57,0.78,0.93,0.57,,,
10,5/09/2017,12:52,1.76,2.6,3.47,1.76,,,
22,26/09/2017,11:14,,1.02,0.93,,0.74,11/12/2017,
23,6/09/2017,12:08,1.08,1.26,1.2,1.08,,,
24,6/09/2017,12:58,1.13,1.46,1.39,1.13,,,
25,6/09/2017,12:35,0.67,1.02,0.89,0.67,,,
26,5/09/2017,15:00,0.66,0.98,0.93,0.66,,,
27,6/09/2017,12:46,0.74,1.29,1.13,0.74,,,
30,5/09/2017,13:44,1.36,2.09,2.1,1.36,,,
35,6/09/2017,9:13,0.38,0.85,0.86,0.38,,,
36,5/09/2017,14:22,1.77,2.44,2.46,1.77,,,
41,5/09/2017,14:42,0.8,1.14,1.11,0.8,,,
42,5/09/2017,14:40,0.93,1.23,1.24,0.93,,,
43,5/09/2017,9:47,1.11,1.36,1.4,1.11,,,
44,5/09/2017,9:04,0.62,0.68,0.75,0.62,,,
46,5/09/2017,15:29,0.89,1.88,1.66,0.89,,,
47,6/09/2017,8:59,0.39,0.85,0.85,0.39,,,
48,5/09/2017,13:35,1.5,2.21,2.24,1.5,,,
49,26/09/2017,11:24,1.1,,1.54,1.1,,,
53,6/09/2017,10:27,0.6,0.84,0.95,0.6,,,
54,7/09/2017,7:34,0.96,1.97,1.49,0.96,,,
55,,,,2.4,2.47,,,,
59,6/09/2017,9:24,0.75,1.04,0.85,0.75,,,
60,5/09/2017,7:59,1.6,1.94,2,1.6,,,
64,6/09/2017,15:40,2.48,,3.16,2.48,,,
66,4/09/2017,11:03,0.63,0.71,0.7,0.63,,,
70,6/09/2017,9:33,1.35,1.68,1.72,1.35,,,
76,6/09/2017,14:26,0.35,0.49,0.61,0.35,,,
77,6/09/2017,8:35,2.16,2.76,2.76,2.16,,,
78,6/09/2017,8:48,0.56,1,0.99,0.56,,,
79,6/09/2017,10:16,0.77,1.12,1.19,0.77,,,
80,4/09/2017,13:18,1.78,2.04,2.11,1.78,,,
82,,,,0.31,0.29,,,,
83,6/09/2017,12:18,0.65,0.97,0.87,0.65,,,
86,5/09/2017,12:11,0.51,0.53,0.75,0.51,,,
